strategy_name,roi,max_drawdown,sharpe_ratio,sortino_ratio,expected_value,num_trades
SFP Simple,30.37%,N/A,N/A,N/A,N/A,151
SFP VWAP Liquidity,70.76%,N/A,N/A,N/A,N/A,3
ICT Silver Bullet Hourly,-13.32%,N/A,N/A,N/A,N/A,517
Simple Profit Monk Hourly,0.05%,N/A,N/A,N/A,N/A,1275
HispanoTrader GOAT Hourly,66.19%,N/A,N/A,N/A,N/A,234
Volume Spike Hourly,39.99%,N/A,N/A,N/A,N/A,422
Blackcat L1 Hourly,14.66%,N/A,N/A,N/A,N/A,537
SFP Simple,30.37%,N/A,N/A,N/A,N/A,151
One Percent A Week,20.73%,N/A,N/A,N/A,N/A,46
HispanoTrader GOAT Correct,69.88%,N/A,N/A,N/A,N/A,173
One Percent A Week,20.73%,N/A,N/A,N/A,N/A,46
HispanoTrader GOAT Correct,69.88%,N/A,N/A,N/A,N/A,173
One Percent A Week,20.73%,N/A,N/A,N/A,N/A,46
HispanoTrader GOAT Correct,69.88%,N/A,N/A,N/A,N/A,173
SFP Simple,30.37%,N/A,N/A,N/A,N/A,151
SFP VWAP Liquidity,70.76%,N/A,N/A,N/A,N/A,3
Volume Spike Hourly,39.99%,N/A,N/A,N/A,N/A,422
